index,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,set,Expenses,FirstName,LastName,group,id,group_size,Financial,TravellerType,Cabin_y,LastName_y,HomePlanet_y,Cabin_deck,Cabin_num,Cabin_side,Cabin_Region1,Cabin_Region2,Cabin_Region3,Cabin_Region4,Cabin_Region5,Cabin_Region6,Age_group
0,0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,1,0.0,Maham,Ofracculy,1,1,1,poor,INDIVIDUAL,B/0/P,Ofracculy,Europa,B,0,P,True,False,False,False,False,False,5
1,0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,1,736.0,Juanna,Vines,2,1,1,poor,INDIVIDUAL,F/0/S,Vines,Earth,F,0,S,True,False,False,False,False,False,4
2,0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,1,10383.0,Altark,Susent,3,1,2,middle,FAMILY,A/0/S,Susent,Europa,A,0,S,True,False,False,False,False,False,6
3,0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,1,5176.0,Solam,Susent,3,2,2,middle,FAMILY,A/0/S,Susent,Europa,A,0,S,True,False,False,False,False,False,5
4,0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,1,1091.0,Willy,Santantines,4,1,1,poor,INDIVIDUAL,F/1/S,Santantines,Earth,F,1,S,True,False,False,False,False,False,3
5,0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,1,774.0,Sandie,Hinetthews,5,1,1,poor,INDIVIDUAL,F/0/P,Hinetthews,Earth,F,0,P,True,False,False,False,False,False,5
6,0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,1,1584.0,Billex,Jacostaffey,6,1,2,rich,FAMILY,F/2/S,Jacostaffey,Earth,F,2,S,True,False,False,False,False,False,4
7,0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,1,0.0,Candra,Jacostaffey,6,2,2,poor,FAMILY,F/2/S,Jacostaffey,Earth,G,0,S,True,False,False,False,False,False,4
8,0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,1,1018.0,Andona,Beston,7,1,1,poor,INDIVIDUAL,F/3/S,Beston,Earth,F,3,S,True,False,False,False,False,False,5
9,0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,1,0.0,Erraiam,Flatic,8,1,3,poor,FAMILY,B/1/P,Flatic,Europa,B,1,P,True,False,False,False,False,False,3
