index,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,set,Expenses,group,Cabin_y,VIP_y,HomePlanet_y,Destination_y,Cabin_y,VIP_y,HomePlanet_y,Destination_y,Cabin_y,VIP_y,HomePlanet_y,Destination_y,Cabin_y,VIP_y,HomePlanet_y,Destination_y,Cabin_y,VIP_y,HomePlanet_y,Destination_y
2,0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,1,10383.0,0003,A/0/S,True,Europa,TRAPPIST-1e,A/0/S,True,Europa,TRAPPIST-1e,A/0/S,True,Europa,TRAPPIST-1e,A/0/S,True,Europa,TRAPPIST-1e,A/0/S,True,Europa,TRAPPIST-1e
3,0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,1,5176.0,0003,A/0/S,True,Europa,TRAPPIST-1e,A/0/S,True,Europa,TRAPPIST-1e,A/0/S,True,Europa,TRAPPIST-1e,A/0/S,True,Europa,TRAPPIST-1e,A/0/S,True,Europa,TRAPPIST-1e
6,0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,1,1584.0,0006,F/2/S,False,Earth,TRAPPIST-1e,F/2/S,False,Earth,TRAPPIST-1e,F/2/S,False,Earth,TRAPPIST-1e,F/2/S,False,Earth,TRAPPIST-1e,F/2/S,False,Earth,TRAPPIST-1e
7,0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,1,0.0,0006,F/2/S,False,Earth,TRAPPIST-1e,F/2/S,False,Earth,TRAPPIST-1e,F/2/S,False,Earth,TRAPPIST-1e,F/2/S,False,Earth,TRAPPIST-1e,F/2/S,False,Earth,TRAPPIST-1e
9,0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,1,0.0,0008,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e
10,0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,1,0.0,0008,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e
11,0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,1,8157.0,0008,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e,B/1/P,False,Europa,55 Cancri e
19,0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,1,0.0,0017,G/0/P,False,Earth,TRAPPIST-1e,G/0/P,False,Earth,TRAPPIST-1e,G/0/P,False,Earth,TRAPPIST-1e,G/0/P,False,Earth,TRAPPIST-1e,G/0/P,False,Earth,TRAPPIST-1e
20,0017_02,Earth,False,F/6/P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,1,1092.0,0017,G/0/P,False,Earth,TRAPPIST-1e,G/0/P,False,Earth,TRAPPIST-1e,G/0/P,False,Earth,TRAPPIST-1e,G/0/P,False,Earth,TRAPPIST-1e,G/0/P,False,Earth,TRAPPIST-1e
26,0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,1,0.0,0020,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e
25,0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,1,0.0,0020,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e
24,0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,1,0.0,0020,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e,E/0/S,False,Earth,TRAPPIST-1e
